id,invoice_id,credit_card_number,credit_card_expiration_date,result,created_at,updated_at
381,1195,4793562617598061,0220,success,2012-02-26 20:57:09 UTC,2012-02-26 20:57:09 UTC
2961,1372,4947478679955321,0618,failed,2012-02-26 20:58:33 UTC,2012-02-26 20:58:33 UTC
1709,1695,4910280362684960,0715,failed,2012-02-26 20:57:53 UTC,2012-02-26 20:57:53 UTC
3649,1695,4470957541856670,0512,success,2012-02-26 20:58:55 UTC,2012-02-26 20:58:55 UTC
2437,4098,4450367285897747,1016,success,2012-02-26 20:58:16 UTC,2012-02-26 20:58:16 UTC
4376,4098,4613143674382550,0317,success,2012-02-26 20:59:18 UTC,2012-02-26 20:59:18 UTC
4794,4098,4660336970921057,0216,success,2012-02-26 20:59:33 UTC,2012-02-26 20:59:33 UTC
1771,4653,4534332575044159,0220,success,2012-02-26 20:57:55 UTC,2012-02-26 20:57:55 UTC
4591,1601,4618891790386536,0817,success,2012-02-26 20:59:26 UTC,2012-02-26 20:59:26 UTC
345,1963,4073836543593055,1014,success,2012-02-26 20:57:07 UTC,2012-02-26 20:57:07 UTC
2476,1963,4462223626461653,1120,failed,2012-02-26 20:58:17 UTC,2012-02-26 20:58:17 UTC
4391,1963,4724043459983600,0615,success,2012-02-26 20:59:19 UTC,2012-02-26 20:59:19 UTC
3203,2254,4237641230185047,0516,failed,2012-02-26 20:58:41 UTC,2012-02-26 20:58:41 UTC
608,2969,4296626814810258,0413,failed,2012-02-26 20:57:16 UTC,2012-02-26 20:57:16 UTC
2947,2969,4116336189441723,1016,success,2012-02-26 20:58:33 UTC,2012-02-26 20:58:33 UTC
2506,3949,4439073593336896,0216,success,2012-02-26 20:58:18 UTC,2012-02-26 20:58:18 UTC
2695,3949,4191211867250959,0316,success,2012-02-26 20:58:25 UTC,2012-02-26 20:58:25 UTC
3336,1443,4077698581277777,0117,failed,2012-02-26 20:58:46 UTC,2012-02-26 20:58:46 UTC
2287,1331,4230049223634282,0719,success,2012-02-26 20:58:11 UTC,2012-02-26 20:58:11 UTC
2872,1331,4999673017973717,0218,success,2012-02-26 20:58:30 UTC,2012-02-26 20:58:30 UTC
4696,1466,4248153800482647,0315,success,2012-02-26 20:59:29 UTC,2012-02-26 20:59:29 UTC
157,1846,4709998508762802,0317,success,2012-02-26 20:57:02 UTC,2012-02-26 20:57:02 UTC
3011,1846,4056173837521090,0312,success,2012-02-26 20:58:35 UTC,2012-02-26 20:58:35 UTC
